q_id,question,category,formulation_type,difficulty,expected_doc_id,expected_chunk_quote,gold_answer,notes
Q001,Какие сроки приема документов на бакалавриат в Москве на бюджетные места?,admission_dates,formal,easy,D2,"с 20 июня по 25 июля 2026 года","Прием документов на бюджетные места проходит с 20 июня по 25 июля 2026 года.",базовый вопрос
Q002,Когда заканчивается прием документов на платное обучение в Москве?,admission_dates,formal,easy,D2,"с 20 июня по 12 августа 2026 года","Прием документов на платные места заканчивается 12 августа 2026 года.",базовый вопрос
Q003,Когда последний день подать документы на программы со внутренними экзаменами ВШЭ?,admission_dates,formal,medium,D2,"с 20 июня по 14 июля 2026 года","Для лиц поступающих по результатам вступительных испытаний проводимых НИУ ВШЭ самостоятельно прием документов идет до 14 июля 2026 года на бюджет и до 3 августа на платное.",важно различать формы приема
Q004,до какого числа можно подать доки на бак,admission_dates,casual,easy,D2,"с 20 июня по 25 июля 2026 года","На бюджетные места документы принимают до 25 июля 2026 года на платные до 12 августа 2026 года.",разговорная формулировка с сокращением
Q005,скока денег платить за вшэ,cost,casual,easy,D8,"стоимость обучения зависит от программы","Стоимость обучения зависит от конкретной образовательной программы и формы обучения. Точные цены публикуются в Положении о стоимости обучения.",разговорная с опечаткой
Q006,Сколько программ бакалавриата можно выбрать в ВШЭ при поступлении?,admission_general,formal,medium,D1,"участвовать в конкурсе в НИУ ВШЭ не более чем по 5 специальностям или направлениям подготовки","В ВШЭ можно участвовать в конкурсе не более чем по 5 специальностям или направлениям подготовки. При этом всего разрешено подать заявления не более чем в 5 вузов.",правило 5+5
Q007,В сколько вузов одновременно можно подавать документы?,admission_general,formal,easy,D1,"подать заявление о приеме одновременно не более чем в 5 образовательных организаций высшего образования","Поступающий вправе подать заявление о приеме одновременно не более чем в 5 организаций высшего образования.",
Q008,Какие способы подачи документов доступны абитуриенту?,admission_general,formal,medium,D1,"посредством ЕПГУ","Документы можно подать через личный кабинет на сайте ВШЭ, через портал Госуслуг (ЕПГУ), почтой или лично в Приемную комиссию.",
Q009,Что нужно для подачи документов в ВШЭ?,admission_general,casual,easy,D1,"документ удостоверяющий личность гражданство документ об образовании","Базовый набор: паспорт, аттестат с приложением, СНИЛС, согласие на обработку персональных данных, фотография. Дополнительно — документы по индивидуальным достижениям и особым правам, если применимо.",
Q010,Можно ли подать документы онлайн через Госуслуги?,admission_general,formal,easy,D1,"При подаче заявления о приеме посредством ЕПГУ","Да, документы можно подавать через ЕПГУ (портал Госуслуг). Информация о документах подтверждается через государственные системы.",
Q011,Если у меня уже есть высшее образование можно поступить на бюджет?,admission_general,casual,medium,D1,"Поступающие имеющие диплом бакалавра диплом специалиста диплом магистра вправе участвовать в конкурсе только на места по договорам об образовании","Лица с дипломом бакалавра, специалиста или магистра могут поступать только на платные места — это будет получение второго высшего образования.",важный кейс
Q012,можно ли поступать на 2 высшее на бюджет,admission_general,casual,medium,D1,"вправе участвовать в конкурсе только на места по договорам об образовании","Нет, второе высшее образование можно получить только на платных местах.",
Q013,Контакты приемной комиссии ВШЭ Москва?,contacts,casual,easy,D1,"abitur@hse.ru","Электронный адрес Приемной комиссии НИУ ВШЭ (Москва): abitur@hse.ru",
Q014,Какой email у приемной комиссии в Москве?,contacts,formal,easy,D1,"abitur@hse.ru","abitur@hse.ru — официальный электронный адрес Приемной комиссии НИУ ВШЭ (Москва).",
Q015,На каком языке подается заявление в ВШЭ?,admission_general,formal,easy,D1,"Заявление о приеме представляется на русском языке","Заявление о приеме подается на русском языке.",
Q016,Какие минимальные баллы ЕГЭ нужны на ПМИ?,minimum_scores,abbreviated,easy,D2,"математика 75 информатика 75 русский язык 60","На программу Прикладная математика и информатика (ПМИ) минимальные баллы: математика — 75, информатика — 75, русский язык — 60.",
Q017,Какие минимальные баллы на Прикладную математику и информатику?,minimum_scores,formal,easy,D2,"математика 75 информатика 75 русский язык 60","ПМИ: математика — 75, информатика — 75, русский язык — 60 баллов минимум.",
Q018,Какие минимальные баллы ЕГЭ на Программную инженерию?,minimum_scores,formal,easy,D2,"математика 70 информатика 70 русский язык 60","На программу Программная инженерия (ПИ): математика — 70, информатика — 70, русский язык — 60.",
Q019,Какие баллы нужны на ПИ в вшэ,minimum_scores,abbreviated,easy,D2,"математика 70 информатика 70 русский язык 60","ПИ (Программная инженерия): математика 70, информатика 70, русский 60.",сокращение ПИ
Q020,Минимальные баллы на КН?,minimum_scores,abbreviated,easy,D2,"математика 70 информатика 65 русский 60","КН (Компьютерные науки и анализ данных): математика 70, информатика/физика 65, русский 60.",сокращение КН
Q021,Сколько баллов нужно на математику в ВШЭ?,minimum_scores,casual,medium,D2,"математика 75","Минимальный балл на программу Математика: математика 75, физика/информатика 70, русский 65.",
Q022,Какие минимальные баллы по русскому языку обычно требуются?,minimum_scores,formal,medium,D2,"русский язык 60","На большинстве программ минимальный балл по русскому языку — 60. На некоторых программах (Экономика, ПМИ) — 65 или выше.",
Q023,На какие программы можно поступить только на платное?,admission_general,formal,medium,D2,"Прием только на платные места","Существуют программы, прием на которые ведется только на платные места — например, Прикладной анализ данных, Международная программа по экономике и финансам, Кинопроизводство и другие.",
Q024,Что такое БВИ?,olympiads,abbreviated,easy,D1,"право на прием без вступительных испытаний","БВИ — это право на прием без вступительных испытаний. Предоставляется победителям и призерам всероссийской олимпиады школьников, членам сборных РФ на международных олимпиадах, а также победителям и призерам ряда олимпиад школьников по соответствующему профилю.",ключевой термин
Q025,Кто получает право на прием БВИ?,olympiads,formal,medium,D1,"победители и призеры заключительного этапа всероссийской олимпиады школьников","Право на прием БВИ имеют: победители и призеры заключительного этапа всероссийской олимпиады школьников, члены сборных РФ на международных олимпиадах, а также победители и призеры олимпиад школьников из перечня (по соответствующему профилю программы).",
Q026,Сколько лет действуют результаты олимпиад для поступления?,olympiads,formal,medium,D1,"в течение четырех лет следующих за годом проведения соответствующей олимпиады","Результаты олимпиад действительны в течение 4 лет, следующих за годом проведения олимпиады.",
Q027,В каких случаях засчитывают 100 баллов по предмету?,olympiads,formal,medium,D1,"быть приравненными к лицам набравшим максимальное количество баллов ЕГЭ","100 баллов по предмету засчитывают победителям и призерам олимпиад школьников, если профиль олимпиады соответствует программе. Также победители и призеры всероса получают 100 баллов автоматически по соответствующему предмету.",
Q028,Какой минимальный балл ЕГЭ нужен для подтверждения олимпиады?,olympiads,formal,medium,D1,"не менее 75 баллов","Для использования права БВИ или права на 100 баллов от олимпиад школьников нужно подтвердить результат ЕГЭ не менее 75 баллов по соответствующему предмету.",
Q029,Можно ли использовать БВИ в нескольких вузах?,olympiads,formal,hard,D1,"использует право на прием БВИ для подачи заявления о приеме на обучение только на одну образовательную программу","Право на прием БВИ можно использовать только для подачи заявления на одну образовательную программу. То есть БВИ — только в один вуз и на одну программу.",
Q030,Олимпиада Высшая проба что дает?,olympiads,casual,medium,D6,"Право на прием БВИ или Право на 100 баллов","Высшая проба входит в перечень олимпиад школьников. По разным предметам и программам дает либо право БВИ, либо право на 100 баллов по соответствующему предмету.",
